,1,2,3,4,5
1,0,5 4,2 5 4,2 3 5,3 4 2
2,5,0,5 4,3 1,3 4 1
3,5 4 2,1 5,0,1 5 2,0
4,0,5 3,1 5,0,3 1
5,0,0,2,3 2,0
6,5 4 2,3,5 2 1,5,0
7,3,1 3 5,4 1 2,5,4
8,2 3 5,0,4 5 1,0,1 3
9,0,5,5 1,5,3
10,0,1 5,1 4 2,1 2,0
11,4 3 5,1 4,0,2 3,2 1 3
12,0,4 3 1,5,0,4 1
13,3 5 2,3,5 1,5 2 1,3
14,2,0,4 5 2,2 1 3,4 1 3
15,2,5 4,4,5 2 3,3
16,5 4 2,3 1 4,2,3 2 1,2 4
17,0,1 5,1 5,2 5 1,4 3 2
18,4,1 4 5,1 4 2 5,0,1
19,4 2 5,0,4,0,4 3
20,4 2 3,1 4,0,0,4
21,5,5,0,3 5 2,3
22,5,0,1,0,4 1
23,4 2,5 4 3,2 5,5 1,4 3 1 2
24,2 5 3,3,2,0,2 4 1
25,4,5,2 1 5,1 2,3
26,0,0,5,0,4 3 2
27,3,0,0,5 3 1,2 4
28,0,5,2 4 5 1,2 1 5,1 3 4
29,0,0,5,5 1,4 3 2
30,5 3,0,4,5,3
31,5 4,1 3,5 1 4,5 2,3
32,0,3,0,0,4 1
33,5,0,5,0,0
34,0,1,4 2,0,3 1
35,5 2,4 3 5,2 5,5,3 2 1
36,0,1,1,2,1
37,0,0,2 1 4,0,0
38,0,3 5,0,0,0
39,4 3 5 2,0,5,0,2 1 3
40,3 5,4,2,2 5 1,0
41,3,3 4,0,1 3,0
42,4 3 5,4 1 3,0,5 1,4
43,2,0,5 1,5 1,4
44,5,3,0,0,4 3
45,3 4 2 5,4,4 1 2,5 3 2,0
46,3 2,1 5,5 4 1,1 5 2,0
47,3 5,3 4 5,5,3 1 2,1
48,0,0,1,0,2
49,5 4,3 4 1 5,4 2 5,2 5 3,4 3 2 1
50,4 3,3 4,0,1,3
